Index,MiseStress,U.Mag,U.U1,U.U2,U.U3,x,y,z
209,0.00765252879026,60.0756444879,-3.2674432071e-14,-60.0756444879,-3.2674432071e-14,276.5,-14.0625,54.31
210,0.0,0.0,0.0,0.0,0.0,276.5,-28.125,108.62
211,0.0,0.0,0.0,0.0,0.0,276.5,-42.1875,162.93
212,0.0,0.0,0.0,0.0,0.0,276.5,-56.25,217.24
213,0.0,0.0,0.0,0.0,0.0,276.5,-70.3125,271.55
214,0.0,0.0,0.0,0.0,0.0,276.5,-84.375,325.86
215,0.0,0.0,0.0,0.0,0.0,276.5,-98.4375,380.17
216,0.0,0.0,0.0,0.0,0.0,276.5,-112.5,434.48
217,0.0,29.1170418298,1.13912008609,6.77715080962,1.13912008609,276.5,-79.55,514.0
218,0.0,-30.6236655282,-6.24497085903e-14,-30.6236655282,-6.24497085903e-14,276.5,0.0,547.0
219,0.0,76.8554655282,1.5672850859e-13,76.8554655282,1.5672850859e-13,276.5,79.55,514.0
220,0.0,0.0,0.0,0.0,0.0,276.5,112.5,434.48
221,0.0,0.0,0.0,0.0,0.0,276.5,98.4375,380.17
222,0.0,0.0,0.0,0.0,0.0,276.5,84.375,325.86
223,0.0,0.0,0.0,0.0,0.0,276.5,70.3125,271.55
224,0.0,0.0,0.0,0.0,0.0,276.5,56.25,217.24
225,0.0,0.0,0.0,0.0,0.0,276.5,42.1875,162.93
226,0.0,0.0,0.0,0.0,0.0,276.5,28.125,108.62
227,0.0,0.0,0.0,0.0,0.0,276.5,14.0625,54.31
228,0.00706041274171,60.2369852218,-3.33652637587e-14,-60.2369852218,-3.33652637587e-14,301.200012,-14.0625,54.31
229,0.0,0.0,0.0,0.0,0.0,301.200012,-28.125,108.62
230,0.0,0.0,0.0,0.0,0.0,301.200012,-42.1875,162.93
231,0.0,0.0,0.0,0.0,0.0,301.200012,-56.25,217.24
232,0.0,0.0,0.0,0.0,0.0,301.200012,-70.3125,271.55
233,0.0,0.0,0.0,0.0,0.0,301.200012,-84.375,325.86
234,0.0,0.0,0.0,0.0,0.0,301.200012,-98.4375,380.17
235,0.0,0.0,0.0,0.0,0.0,301.200012,-112.5,434.48
236,0.0,29.0529406276,1.13475816997,6.51506413087,1.13475816997,301.200012,-79.55,514.0
237,0.0,-30.3937485814,-6.07306637601e-14,-30.3937485814,-6.07306637601e-14,301.200012,0.0,547.0
238,0.0,76.2784485814,1.5241426376e-13,76.2784485814,1.5241426376e-13,301.200012,79.55,514.0
239,0.0,0.0,0.0,0.0,0.0,301.200012,112.5,434.48
240,0.0,0.0,0.0,0.0,0.0,301.200012,98.4375,380.17
241,0.0,0.0,0.0,0.0,0.0,301.200012,84.375,325.86
242,0.0,0.0,0.0,0.0,0.0,301.200012,70.3125,271.55
243,0.0,0.0,0.0,0.0,0.0,301.200012,56.25,217.24
244,0.0,0.0,0.0,0.0,0.0,301.200012,42.1875,162.93
245,0.0,0.0,0.0,0.0,0.0,301.200012,28.125,108.62
246,0.0,0.0,0.0,0.0,0.0,301.200012,14.0625,54.31
247,0.0063553804027,60.392103448,-3.38294183822e-14,-60.392103448,-3.38294183822e-14,325.899994,-14.0625,54.31
248,0.0,0.0,0.0,0.0,0.0,325.899994,-28.125,108.62
249,0.0,0.0,0.0,0.0,0.0,325.899994,-42.1875,162.93
250,0.0,0.0,0.0,0.0,0.0,325.899994,-56.25,217.24
251,0.0,0.0,0.0,0.0,0.0,325.899994,-70.3125,271.55
252,0.0,0.0,0.0,0.0,0.0,325.899994,-84.375,325.86
253,0.0,0.0,0.0,0.0,0.0,325.899994,-98.4375,380.17
254,0.0,0.0,0.0,0.0,0.0,325.899994,-112.5,434.48
255,0.0,28.9930875524,1.1283404638,6.25476014828,1.1283404638,325.899994,-79.55,514.0
256,0.0,-30.1652889012,-6.04824647397e-14,-30.1652889012,-6.04824647397e-14,325.899994,0.0,547.0
257,0.0,75.7050889012,1.5179136474e-13,75.7050889012,1.5179136474e-13,325.899994,79.55,514.0
258,0.0,0.0,0.0,0.0,0.0,325.899994,112.5,434.48
259,0.0,0.0,0.0,0.0,0.0,325.899994,98.4375,380.17
260,0.0,0.0,0.0,0.0,0.0,325.899994,84.375,325.86
261,0.0,0.0,0.0,0.0,0.0,325.899994,70.3125,271.55
262,0.0,0.0,0.0,0.0,0.0,325.899994,56.25,217.24
263,0.0,0.0,0.0,0.0,0.0,325.899994,42.1875,162.93
264,0.0,0.0,0.0,0.0,0.0,325.899994,28.125,108.62
265,0.0,0.0,0.0,0.0,0.0,325.899994,14.0625,54.31
266,0.00590231517669,60.5472216742,-3.4837909085e-14,-60.5472216742,-3.4837909085e-14,350.600006,-14.0625,54.31
267,0.0,0.0,0.0,0.0,0.0,350.600006,-28.125,108.62
268,0.0,0.0,0.0,0.0,0.0,350.600006,-42.1875,162.93
269,0.0,0.0,0.0,0.0,0.0,350.600006,-56.25,217.24
270,0.0,0.0,0.0,0.0,0.0,350.600006,-70.3125,271.55
271,0.0,0.0,0.0,0.0,0.0,350.600006,-84.375,325.86
272,0.0,0.0,0.0,0.0,0.0,350.600006,-98.4375,380.17
273,0.0,0.0,0.0,0.0,0.0,350.600006,-112.5,434.48
274,0.0,28.9362688536,1.12004144425,5.99532854891,1.12004144425,350.600006,-79.55,514.0
275,0.0,-29.9382202484,-5.83819472224e-14,-29.9382202484,-5.83819472224e-14,350.600006,0.0,547.0
